County_FIPS,County_Name,County_State,Hyperlink,Icon_Airports,Icon_Bridges,Icon_Demographics,Icon_Maritime,Icon_Railroad,Icon_Trips,State FIPS,State_Name,Non-Commercial -Civil Public Use Airports and Seaplane base,Non-Commercial -Other Aerodromes,Number of Bridges,Number of business establishments,Number of resident workers,Number of resident workers who commute to work in other countie,Number of resident workers who commute within county,Number of resident workers who work at home,Number of residents,Number of workers from other counties who commute to work in th,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Percent of resident workers who commute by transit,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Total Docks,Total Marinas
51001,Accomack County,"Accomack County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,3,11,31,745,"14,140","1,350","11,200",505,"33,060","2,959",0.870968,0.129032,0.005941,0,35.6,0,0,0
51003,Albemarle County,"Albemarle County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,6,261,"2,808","49,345","18,661","30,105","3,605","104,285","19,220",0.934866,0.065134,0.020043,1,77.3,65.5,Null,Null
51510,Alexandria city,"Alexandria city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,58,"4,670","94,430","34,594","25,680","4,750","151,475","68,633",0.948276,0.051724,0.22154,0,10.6,9.9,Null,Null
51005,Alleghany County,"Alleghany County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,191,247,"6,355","2,127","3,840",145,"15,920","2,513",0.937173,0.062827,0.003934,0,36.3,33.6,Null,Null
51007,Amelia County,"Amelia County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,53,275,"5,925","4,189","1,675",145,"12,795","4,249",0.886792,0.113208,0.006751,0,19.1,0,Null,Null
51009,Amherst County,"Amherst County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,170,574,"14,480","8,905","5,375",400,"32,000","9,087",0.964706,0.035294,0.013812,0,40.1,19.3,Null,Null
51011,Appomattox County,"Appomattox County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,4,74,301,"6,525","4,129","2,370",330,"15,315","4,157",0.986486,0.013514,0.005364,0,20.4,0,Null,Null
51013,Arlington County,"Arlington County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,172,"6,386","143,100","36,234","47,610","8,805","226,090","95,374",0.97093,0.02907,0.257827,1,2.3,2.3,Null,Null
51015,Augusta County,"Augusta County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,5,353,"1,423","34,025","16,294","17,555","1,685","74,330","16,474",0.957507,0.042493,0.004409,1,74,33.5,Null,Null
51017,Bath County,"Bath County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,3,70,127,"2,170",520,"1,620",100,"4,560",555,0.942857,0.057143,0.011521,0,14.9,14.9,Null,Null
51019,Bedford County,"Bedford County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,9,196,"1,715","35,680","22,536","12,830","1,405","76,935","22,853",0.887755,0.112245,0.002242,0,84.7,31.8,Null,Null
51021,Bland County,"Bland County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,122,73,"2,550","1,119",950,85,"6,610","1,603",0.967213,0.032787,0.001569,Null,Null,Null,Null,Null
51023,Botetourt County,"Botetourt County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,5,199,750,"15,850","10,388","5,315",555,"33,190","10,555",0.974874,0.025126,0.002208,0,88.5,5.7,Null,Null
51520,Bristol city,"Bristol city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,51,587,"7,305","1,589","3,295",190,"17,340","4,018",0.882353,0.117647,0.015743,0,4.1,0,Null,Null
51025,Brunswick County,"Brunswick County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,0,149,250,"6,425","3,272","2,930",175,"16,575","3,520",0.926174,0.073826,0.001556,0,Null,Null,Null,Null
51027,Buchanan County,"Buchanan County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,1,284,403,"6,735","1,245","4,915",50,"23,160","1,820",0.957746,0.042254,0.005939,0,83.8,0,Null,Null
51029,Buckingham County,"Buckingham County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,4,71,249,"6,485","3,676","2,750",230,"17,030","3,731",0.957746,0.042254,0.006168,0,16.5,0,Null,Null
51530,Buena Vista city,"Buena Vista city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,18,112,"2,800","1,600","1,195",10,"6,610","1,600",1,0,0,Null,2.7,0,Null,Null
51031,Campbell County,"Campbell County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,1,144,"1,160","26,050","16,439","9,405","1,050","55,060","16,633",0.958333,0.041667,0.001152,1,98.9,18.7,Null,Null
51033,Caroline County,"Caroline County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,102,390,"14,600","9,486","4,775",440,"29,640","9,823",0.921569,0.078431,0.001986,0,25.1,25.1,Null,Null
51035,Carroll County,"Carroll County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,1,159,413,"12,745","4,794","5,910",420,"29,735","6,842",0.981132,0.018868,0.001962,0,Null,Null,Null,Null
51036,Charles City County,"Charles City County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,22,150,"3,255","2,521",695,110,"7,085","2,552",0.954545,0.045455,0.016897,0,3.9,3.9,2,0
51037,Charlotte County,"Charlotte County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,100,221,"4,880","2,776","2,030",325,"12,230","2,862",0.99,0.01,0.002049,0,46.5,0,Null,Null
51540,Charlottesville city,"Charlottesville city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,24,"2,013","23,930","10,114","13,650","1,640","45,540","10,256",0.75,0.25,0.080819,0,5.9,5.8,Null,Null
51550,Chesapeake city,"Chesapeake city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,6,179,"5,461","112,500","63,968","46,980","4,015","233,195","65,498",0.944134,0.055866,0.007111,0,56.9,14.2,18,0
51041,Chesterfield County,"Chesterfield County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,4,279,"7,465","166,685","89,916","75,040","7,890","331,840","91,630",0.960573,0.039427,0.006629,0,54.9,16.8,2,0
51043,Clarke County,"Clarke County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,4,37,353,"6,910","4,561","1,855",440,"14,305","5,056",1,0,0.002894,0,19.8,0,Null,Null
51570,Colonial Heights city,"Colonial Heights city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,13,665,"7,745","5,390","2,285",185,"17,555","5,453",1,0,0.003873,Null,0.9,0.9,Null,Null
51580,Covington city,"Covington city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,11,206,"2,270","1,273",835,60,"5,650","1,422",0.909091,0.090909,0,Null,7.4,3.3,Null,Null
51045,Craig County,"Craig County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,59,62,"1,940","1,545",320,30,"5,195","1,625",0.932203,0.067797,0,0,Null,Null,Null,Null
51047,Culpeper County,"Culpeper County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,5,97,"1,019","22,195","11,009","10,480","1,105","48,950","11,698",0.979381,0.020619,0.012796,0,23.2,23.2,Null,Null
51049,Cumberland County,"Cumberland County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,0,39,136,"4,445","3,536",870,175,"9,770","3,585",0.948718,0.051282,0.0009,0,Null,Null,Null,Null
51590,Danville city,"Danville city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,2,61,"1,294","16,390","3,465","11,890",375,"42,360","4,501",0.967213,0.032787,0.017999,0,14.1,8.1,Null,Null
51051,Dickenson County,"Dickenson County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,76,207,"4,815","1,804","2,820",75,"15,305","2,004",0.973684,0.026316,0.000831,0,54.7,0,Null,Null
51053,Dinwiddie County,"Dinwiddie County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,0,139,356,"12,640","8,906","3,605",490,"28,155","9,020",0.942446,0.057554,0.002373,0,40.2,9.8,Null,Null
51595,Emporia city,"Emporia city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,21,233,"1,905","1,015",835,45,"5,565","1,069",1,0,0.005249,0,4,3.8,Null,Null
51057,Essex County,"Essex County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,1,33,305,"5,275","2,564","2,575",170,"11,130","2,713",0.909091,0.090909,0.001896,0,Null,Null,Null,Null
51600,Fairfax city,"Fairfax city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,6,"1,982","12,240","7,809","2,735",650,"23,620","9,482",1,0,0.098856,Null,Null,Null,Null,Null
51059,Fairfax County,"Fairfax County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,12,702,"31,388","605,415","143,006","330,125","36,815","1,132,885","274,489",0.981481,0.018519,0.095728,0,29,29,Null,Null
51610,Falls Church city,"Falls Church city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,4,878,"7,485","3,600","1,195",535,"13,595","6,289",0.5,0.5,0.197729,Null,Null,Null,Null,Null
51061,Fauquier County,"Fauquier County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,18,228,"1,899","34,170","18,372","14,345","2,655","68,025","19,811",0.964912,0.035088,0.01434,0,48.3,15.1,Null,Null
51063,Floyd County,"Floyd County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,117,322,"6,885","3,519","3,245",450,"15,585","3,637",0.982906,0.017094,0,0,Null,Null,Null,Null
51065,Fluvanna County,"Fluvanna County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,54,395,"11,750","8,858","2,830",630,"26,045","8,913",0.962963,0.037037,0.002128,Null,24.3,0,Null,Null
51620,Franklin city,"Franklin city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,Null,271,"3,435","2,222","1,200",75,"8,415","2,222",Null,Null,0,0,2.3,0,Null,Null
51067,Franklin County,"Franklin County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,10,173,"1,163","24,935","10,782","13,925","1,285","56,230","11,015",0.953757,0.046243,0.005013,0,31,0,Null,Null
51069,Frederick County,"Frederick County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,4,170,"1,536","41,295","22,196","16,470","1,925","82,320","24,782",0.964706,0.035294,0.001937,0,43.8,0,Null,Null
51630,Fredericksburg city,"Fredericksburg city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,17,"1,401","13,740","7,585","5,410",875,"27,855","8,340",0.941176,0.058824,0.046215,Null,2.2,2.2,Null,Null
51640,Galax city,"Galax city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,5,306,"2,850","1,815",935,35,"6,860","1,919",1,0,0.003509,Null,Null,Null,Null,Null
51071,Giles County,"Giles County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,96,285,"7,450","3,551","3,695",280,"16,870","3,764",0.96875,0.03125,0.000537,0,54,0,Null,Null
51073,Gloucester County,"Gloucester County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,21,853,"17,785","10,067","7,525",640,"37,020","10,214",0.952381,0.047619,0.001968,0,Null,Null,1,0
51075,Goochland County,"Goochland County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,5,87,677,"10,170","7,094","2,920",560,"21,980","7,262",1,0,0.004425,0,43.4,0,Null,Null
51077,Grayson County,"Grayson County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,147,154,"6,165","3,065","2,480",130,"15,180","3,691",0.965986,0.034014,0.009732,0,Null,Null,Null,Null
51079,Greene County,"Greene County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,49,355,"8,885","6,323","2,520",395,"19,085","6,372",0.938776,0.061224,0.00619,Null,Null,Null,Null,Null
51081,Greensville County,"Greensville County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,0,79,98,"4,055","2,133","1,670",35,"11,700","2,386",0.987342,0.012658,0.008631,0,15.5,12.9,Null,Null
51083,Halifax County,"Halifax County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,7,161,707,"14,050","2,659","10,515",395,"35,305","3,561",0.962733,0.037267,0.003559,0,57.3,0,Null,Null
51650,Hampton city,"Hampton city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,4,82,"2,347","64,325","32,794","30,915","1,585","136,790","33,346",0.95122,0.04878,0.02534,0,4.2,0,5,0
51085,Hanover County,"Hanover County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,4,159,"3,204","52,845","31,477","20,900","3,315","102,200","31,906",0.937107,0.062893,0.00369,0,51.9,13.4,Null,Null
51660,Harrisonburg city,"Harrisonburg city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,26,"1,603","24,290","9,289","14,765",750,"51,980","9,507",0.884615,0.115385,0.027789,Null,11.2,0,Null,Null
51087,Henrico County,"Henrico County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,5,281,"9,444","164,020","74,958","87,510","7,745","321,920","76,473",0.960854,0.039146,0.010669,1,44.5,22.6,0,0
51089,Henry County,"Henry County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,4,134,803,"20,265","8,176","10,250",420,"52,210","9,995",0.992537,0.007463,0.004441,0,26.5,0,Null,Null
51091,Highland County,"Highland County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,53,83,960,283,650,35,"2,230",316,0.924528,0.075472,0,0,Null,Null,Null,Null
51670,Hopewell city,"Hopewell city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,10,413,"9,310","6,615","2,660",205,"22,330","6,650",1,0,0.011278,0,11.8,0,Null,Null
51093,Isle of Wight County,"Isle of Wight County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,6,86,670,"17,200","11,584","5,495",520,"36,025","11,725",0.906977,0.093023,0.001744,0,22.2,9.2,0,0
51095,James City County,"James City County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,69,"1,711","32,170","17,319","14,475","1,970","71,900","17,623",0.985507,0.014493,0.006683,0,18.1,16.7,1,0
